IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Communities Fund,"Funding in each year will be divided equally between each of the fifteen wards. Program details, policy, eligibility, reporting requirements, etc. of this new program will be communicated later or through the budget recommendations.",Council,Multiple Organizational Support Services,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2032,,,N,7,,,,,,,
2024,Environmental Standards Laboratory Facility Plan,"Environmental Standards Division operates a Canadian Association for Laboratory Accreditation (CALA) accredited laboratory for testing, monitoring, and compliance reporting on behalf of the Water and Waste Department. To ensure the laboratory can continue to stay up-to-date with CALA accreditation standards, meet future regulatory monitoring and reporting requirements, and accommodate the increasing demands of the laboratory's internal clients, a new facility plan is required. The plan will also investigate options to bring additional testing in-house with further accreditation requirements.",Water and Waste,Wastewater,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,West Kildonan Industrial,Old Kildonan,POINT (-97.11006429 49.95251634),0,0,2028,,,N,8,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,12407000,1,,Good Health & Well-Being,Renew,,,,1241000,0,2029,,,,,,,,,,,
2024,New Southeast Winnipeg Regional Recreation & Aquatic Centre,"Capital investment is required for a new regional indoor aquatic and recreation centre to serve southeast Winnipeg. The facility will include multi-purpose program space, leisure pool and lap pool to service current demands and future growth in southeast Winnipeg.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,0,2030,Growth-supportive infrastructure,,N,6,,,,,,,
2024,Parks Buildings,"This program will fund Parks Maintenance Garage at Reykdal Family Park, Grant's Old Mill Restoration and Public Washrooms Renewal, Prairie Point Garage, Living Prairie Museum Interpretive Centre and various demolition of park buildings and structures as necessary.",Public Works,Parks - Local,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,375000,2273000,2025,,,Y,3,,,,,,,
2024,Transit Building Replacement and Renewal,"This multi-year capital program addresses the need for both larger and smaller scale projects within Transit's existing facilities, stops and stations. These projects are mainly required due to the age and condition of the assets.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),1000000,0,2029,,,N,6,,,,,,,
2023,Road Safety Improvement Program (formerly Traffic Engineering Improvements - Various Locations),text,Public Works,Roads - Regional,Program,24512000,1,,Good Health & Well-Being,Operations & Maintenance,,,,1264000,0,2023,,,,,,,,,,,
2023,St Vital Bridge Rehabilitation (DD & Construction),text,Public Works,Bridges - Regional,Project,38800000,1,3,Good Health & Well-Being,Renew,Riverview,Fort Rouge - East Fort Garry,POINT (-97.12658634 49.85575884),15600000,0,2023,,,,,,,,,,,
2024,Provencher Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will replace the end-of-life asset and include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,8400000,0,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Central St. Boniface,St. Boniface,POINT (-97.117877 49.891049),0,0,2024,,,Y,15,,,,,,,
2024,Manta build and implement,The investment is to replace the Municipal Assessment and Taxation Application (MANTA) and the Revenue Collection System (RCS) Software. The replacement is required because MANTA and RCS are over 23 years old and at end of life.,Innovation and Technology,Fire & Injury Prevention,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2032,,,N,1,,,,,,,
2024,Customer Care and Billing System (formerly Customer Billing and Work Management Systems Upgrades Program),"Work Order and Asset Management (WAM) is used in the delivery of Water and Wastewater services for work planning, management, infrastructure preventative maintenance and renewal programs. Ongoing product updates are required to ensure the WAM system can support the day-to-day operations within the Water and Waste Department.",Innovation and Technology,Water,Program,7760000,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2024,,,N,2,,,,,,,
2023,Road Safety Strategy Implementation,text,Public Works,Roads - Regional,Program,21790000,0,,Economic Prosperity,Upgrade,,,,0,4156000,2024,,,,,,,,,,,
2024,Process Control System Master Plan and Upgrade,"This program will develop a plan to ensure operational reliability throughout the upgrades and in the long term once the upgrades are complete. The major components of this program include: maintaining the Distributed Control Systems (DCS) and Human Machine Interface (HMI) systems until replacement, upgrading the inter-plant communication systems and network security components, and replacement of the West End Sewage Treatment Plant DCS and HMI systems.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2027,,,N,1,,,,,,,
2023,Rapid Transit Construction,text,Winnipeg Transit,Public Transit,Program,1260645000,0,,City Building,Growth,,,,0,0,2030,,,,,,,,,,,
2024,River Crossings Monitoring and Rehabilitation,"This program is for the condition assessment, rehabilitation and/or replacement of the sewer river crossings, and for the installation of leak detection equipment on the existing waterway crossings. The department has completed a risk assessment of all river crossings in order to determine a prioritization plan for ongoing condition assessment as well as to upgrade and replace any at-risk crossings as required by Environment Licences issued by the Province of Manitoba for the wastewater collection system in the City of Winnipeg. These funds will also be used to install continuous leak detection monitoring equipment at river crossings as required by the Provincial Environmental Licence.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2026,,,N,19,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,0,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,900000,0,2026,,,N,4,,,,,,,
2023,Brady Road Resource Management Facility - Cell Construction,text,Water and Waste,Solid Waste,Program,10800000,1,,Environmental Resilience,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),1500000,0,2028,,,,,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,282132000,1,,Economic Prosperity,Operations & Maintenance,,,,15670000,8656000,2031,,,,,,,,,,,
2024,Fort Rouge - McFadyen Pedestrian Crossing,The proposed project involves construction of a new pedestrian and cycling bridge over the Assiniboine River and major refurbishment of McFadyen Park and Fort Rouge Park on either side of the bridge.,Public Works,Active Transportation,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,Broadway-Assiniboine,Fort Rouge - East Fort Garry,POINT (-97.14168066 49.88396265),0,0,2030,,,Y,2,,,,,,,
2024,Arlington Bridge Replacement,"The proposed project involves construction of a new three-lane bridge to the west of the existing bridge. The new bridge will include two uni-directional bike lanes and two sidewalks. The project would also include reconstruction of Arlington Street from McDermot Avenue to Selkirk Avenue, as well as the decommissioning and removal of the existing Arlington Bridge.",Public Works,Bridges - Regional,Project,0,0,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2030,,,Y,7,,,,,,,
2024,Community Centre Investment Fund (CCIF),"Investment to support amalgamation, renewal and upgrade of end of life and/or functionally obsolete community centres.",Community Services,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,0,0,2029,,,N,20,,,,,,,
2023,Urban Forest Renewal Program,text,Public Works,Urban Forests,Program,120481000,1,,Environmental Resilience,Operations & Maintenance,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.095599 49.901885),6000000,5857000,2030,,,,,,,,,,,
2024,Spray Pad Investment Fund,Capital investment is required to construct new spray pads to address service gaps and replace and/or decommission end of service life wading pools. Selected locations will be in alignment with the customer levels of service defined in the Council adopted Wading Pool Rationalization & Spray Pad Reinvestment Strategy and the Winnipeg Recreation Strategy.,Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,4000000,0,2027,,,Y,10,,,,,,,
2024,Vacuum Truck Decanting Facility,"Vacuum trucks are specifically designed trucks that periodically assist in cleaning underground sewers and catch basins. These vehicles then transport the solids/trash/debris material that has built up in sewers to Brady Road Resource Management Facility for disposal. In order to meet the liquid waste definition from the licence for Brady Road Resource Management Facility, Licence No 3081 R, the vacuum truck materials must meet specific criteria for disposal. This project includes a feasibility study (2023), interim solution (2024), and design and construction of a dedicated facility (2028) to dewater material from vacuum trucks prior to disposal.",Water and Waste,Wastewater,Project,5950000,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,,,,400000,0,2024,,200000,N,7,,,,,,,
2023,Traffic Signals Bases Replacements,text,Public Works,Roads - Regional,Program,12500000,1,,Good Health & Well-Being,Renew,,,,1500000,0,2032,,,,,,,,,,,
2024,West Kildonan Library Renewal,Repair and renewal of building systems/components and accessibility upgrades at the existing West Kildonan Library.,Community Services,Libraries,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Jefferson,Mynarski,POINT (-97.12778437 49.93670205),0,0,2026,,,N,1,,,,,,,
2023,Water Treatment Plant Asset Refurbishment and Replacement Program,text,Water and Waste,Water,Program,29650000,1,,Environmental Resilience,Renew,,,,3000000,0,2029,,,,,,,,,,,
